match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
NA1_5156631057,red,897,478245,254,20415,268,1372666,143,29345,235,11576,126,369589,59,159640,134,55541,202,619924,223,117452
NA1_5156560660,blue,266,744367,17,11757,268,1372666,119,194115,497,165329,126,10407,104,236727,517,59509,202,619924,143,111819
NA1_5156525951,blue,420,55152,107,2425959,45,67400,42,108198,526,192458,157,255728,427,211218,154,4182888,202,127556,78,11370
NA1_5156492650,blue,897,2253136,234,488408,268,1372666,51,9332,555,51816,67,86256,64,511645,3,52927,202,18147,25,54450
NA1_5156295614,red,875,1103104,200,45930,893,90605,42,93029,267,4398024,126,416768,62,111831,268,1372666,101,58940,142,415189
NA1_5155730317,red,897,2253136,17,11757,23,2819,96,2334,16,2224,24,282630,427,211218,893,63853,22,93308,117,874260
NA1_5155702324,blue,266,161628,104,75566,90,75821,96,17065,78,19916,799,32818,121,90042,143,222357,202,689119,432,574936
NA1_5155682541,blue,893,137646,72,112673,61,88504,51,103273,40,143440,106,147142,104,62290,136,496604,523,314342,117,335206
NA1_5155640692,red,777,163096,154,298365,112,395014,15,184832,57,49751,268,2807527,104,114102,8,543926,81,495453,25,83147
NA1_5155615330,blue,98,38474,35,443080,268,1372666,360,1257636,526,123161,27,1805468,200,152213,142,736386,42,93029,497,4161902
NA1_5155170443,red,887,725660,104,232616,777,127642,96,16785,16,55604,8,543109,427,211218,126,195771,202,922740,111,2439308
NA1_5155136906,blue,126,369589,62,22256,910,72962,42,16607,117,1522187,6,1043741,234,107702,136,496604,202,619924,26,120743
NA1_5154996151,blue,777,1972743,72,12451,136,496604,134,211927,99,213061,63,1302131,106,41800,893,235653,42,145141,412,148893
NA1_5154970583,red,63,1302131,72,20985,136,496604,22,638630,267,299707,23,821024,59,25142,166,70014,96,75772,143,5968
NA1_5152921616,blue,887,89264,427,211218,799,19127,523,297739,16,93370,6,3191300,131,72705,246,50555,222,49188,117,74077
NA1_5152686407,blue,516,92721,887,157600,42,112618,64,68976,235,80424,6,602486,104,329261,893,37142,498,76974,497,399258
NA1_5152658679,red,23,907127,64,1979287,136,496604,15,32361,526,91141,897,80579,5,422672,103,146585,22,96358,117,4288
NA1_5152637242,blue,6,3303908,234,14338,910,21159,67,1794131,142,53911,266,6136,30,139037,64,24226,145,84816,117,147342
NA1_5152598197,red,23,108921,91,31255,50,2980501,202,2867465,412,186767,164,58795,427,211218,777,31001,143,29345,142,806289
NA1_5152217217,red,266,53976,887,65873,799,19127,81,58801,432,110572,150,163120,104,329261,711,128569,22,231641,201,31020
NA1_5152194870,blue,516,559540,200,876266,134,537309,222,148399,117,104980,103,14767454,35,783326,3,10874,81,92253,12,467498
NA1_5152168942,blue,777,56728,126,93966,427,211218,51,15112,43,252352,54,6355,143,94490,142,806289,110,102177,412,542659
NA1_5152151251,blue,12,18646,254,41270,103,18362,222,2377194,57,49751,777,116313,234,66086,134,537309,18,579166,526,182132
NA1_5152132873,red,45,274088,234,102071,39,33460,22,34375,111,618333,92,2048816,121,276082,134,16164,51,33852,142,806289
NA1_5152108644,red,240,146280,427,211218,7,68381,18,127516,53,359234,6,2716927,59,24729,10,54129,143,434516,111,407296
NA1_5151199654,blue,42,93029,104,337729,711,128569,54,13061,25,83147,517,166046,60,32585,39,307592,51,476544,43,267130
NA1_5151196925,blue,84,1986904,20,1642472,777,72945,51,476544,902,84415,54,96493,427,85040,268,1372666,42,93029,235,340189
