match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
EUW1_7196441821,red,58,131269,76,20486,42,252757,202,336616,89,57905,897,158147,120,251380,517,363242,51,8115,432,207483
EUW1_7196050779,red,897,16277,120,251380,134,333887,523,580188,53,25923,901,30652,72,101574,517,176062,222,243238,117,347402
EUW1_7193113835,blue,266,420761,56,31398,134,333887,22,354246,117,16159,893,53203,72,101574,7,52900,51,2471691,412,46929
EUW1_7193085829,blue,150,330038,107,1914780,14,3834,115,24784,555,372598,517,118817,104,35348,7,459793,51,23751,99,2981878
EUW1_7192018406,blue,799,12627,64,733415,39,673968,134,333887,111,306209,79,63156,131,384637,157,1803144,81,2602843,432,451839
EUW1_7191999513,blue,68,175296,154,3692905,777,212179,51,2471691,201,39001,516,27572,60,321386,238,234933,119,264731,555,14447
EUW1_7191601478,red,111,34162,78,1044263,84,340148,51,529357,897,124329,56,4311,60,76909,777,43346,145,666544,201,16790
EUW1_7190866320,red,897,355653,19,18063,134,333887,145,4377,526,435787,41,63879,62,206591,103,131474,42,54420,99,2981878
EUW1_7190851593,blue,897,88992,76,498131,134,333887,429,372156,164,17999,266,235324,30,56898,799,24014,42,112097,89,500696
EUW1_7189789901,blue,98,2787083,62,56623,115,4622,777,1350356,412,1444491,901,21870,234,102450,134,333887,22,185253,117,1132934
EUW1_7189742775,blue,79,203801,72,115093,777,1350356,110,30257,201,27091,114,874809,62,39755,38,43213,910,24050,412,941259
EUW1_7189694863,blue,43,73499,72,115093,61,153118,523,269529,412,1101484,114,874809,106,32897,517,363242,235,49031,799,60401
EUW1_7189647423,blue,31,6361116,25,1286305,18,139992,110,222106,267,277100,122,432891,427,124032,777,68485,51,80057,555,391634
EUW1_7189611451,blue,164,189993,56,115557,115,3284,7,459793,80,75320,893,30643,711,2860,24,20486,222,347421,99,2981878
EUW1_7189580067,blue,122,432891,234,367197,112,406953,81,120041,89,5428,893,114560,120,445609,75,702713,134,333887,37,2387836
EUW1_7189375564,blue,24,157474,234,47313,115,426869,777,37469,117,168909,420,226353,104,53140,105,3708405,157,360461,80,517625
EUW1_7189349506,blue,2,120880,62,27475,777,37469,84,206687,432,195611,897,120902,427,501257,69,176735,22,44625,37,894591
EUW1_7189313729,blue,114,874809,154,1685489,105,3708405,134,333887,111,713221,897,225217,421,245459,910,156504,119,925931,888,45564
EUW1_7189286462,red,266,615849,72,132967,517,363242,429,867335,888,9075,106,17637,11,1331230,84,206687,119,240252,78,68067
EUW1_7189241558,blue,79,84484,254,251196,42,6733,110,51226,117,2862240,134,333887,120,239496,54,29309,81,138247,412,527340
EUW1_7188682272,red,150,46384,254,117212,103,1806970,42,83647,99,1161798,164,73640,104,493179,61,199786,498,168417,98,2787083
EUW1_7188593273,blue,78,64636,163,73770,238,1663139,202,226225,89,188728,92,1860862,104,53140,910,95375,7,459793,267,16930
EUW1_7188525052,red,897,19096,113,1411,517,363242,498,32377,526,83082,266,148629,59,90008,910,174777,22,167906,147,88214
EUW1_7188466319,red,799,72387,62,131987,54,374483,42,44839,111,49396,2,47533,76,100413,126,216082,96,48945,78,59065
EUW1_7188428136,red,24,590311,104,203272,126,216082,115,4418,89,275964,54,374483,60,17011,777,1350356,81,252675,43,52175
EUW1_7188388048,red,24,151621,254,136610,84,340148,110,57376,888,10118,36,90848,60,1812165,115,89351,777,1350356,526,194483
EUW1_7188363551,blue,79,233287,104,13679,134,333887,51,101657,201,85586,266,26621,76,894498,166,39110,63,1946073,111,358513
