match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
NA1_5157058568,red,86,176264,245,6754,134,1141772,202,184307,235,132848,14,67039,62,50710,103,82450,42,49380,111,53864
NA1_5156403784,blue,98,261389,163,210797,777,405389,67,117616,201,38928,8,193922,64,4258,84,11900,22,82880,78,93948
NA1_5145785706,blue,98,351480,72,47665,103,167617,236,56538,35,1743223,78,26615,154,188105,8,1192928,202,2116576,223,116409
NA1_5162307081,blue,63,1300602,141,1405,3,31306,42,116648,78,116265,157,1212839,59,12207,113,323246,15,121745,888,50634
NA1_5159560645,blue,126,149260,234,359672,3,11864,42,37576,555,1930213,875,313791,5,26356,893,99746,22,164767,111,4226
NA1_5147646383,blue,134,17592,104,1121246,8,529120,202,13338,78,56010,516,6839,17,70876,246,674992,81,445967,526,251354
KR_7379923901,blue,78,4405618,234,35303,3,331256,145,164037,111,246648,24,31088,62,31309,910,56065,51,211207,164,110191
KR_7385082183,red,164,479014,104,17897,117,50208,67,8907,12,492346,893,185783,234,64903,901,17694,29,480611,497,281204
NA1_5147519301,blue,98,1312055,59,309393,42,188690,119,570155,201,8322,111,497,163,102949,901,8510,51,153914,25,244363
KR_7358338356,blue,126,133811,254,7420842,3,7245,115,7198,89,220385,39,18800,60,998,517,108162,119,5655173,526,285659
EUW1_7199032175,red,84,2564575,887,14606,777,217216,901,6965,526,171837,122,188888,427,83144,38,1970955,222,204175,201,21254
NA1_5160733048,red,266,222488,30,14264,61,383166,18,471903,117,22855,78,3925672,104,75513,517,360663,202,381337,432,385879
KR_7353178548,red,150,144722,200,1338758,910,132838,96,43483,555,53167,92,1300151,64,97935,517,576733,42,16953,44,502198
NA1_5138899053,red,14,110716,131,81745,82,1330342,498,17086,89,116224,268,2917170,64,109818,42,83111,119,234081,526,204326
KR_7349383387,red,92,902644,234,105942,142,151453,145,96027,526,191101,58,3769,143,93210,42,124573,202,72057,72,308984
KR_7364696289,red,8,2023638,234,126305,777,266133,202,95190,555,280478,24,250328,246,19666,84,352731,50,3431,12,216514
KR_7347850020,red,893,32750,141,455375,69,8501,81,139210,89,103079,39,61871,62,56681,84,79950,22,180219,497,95054
KR_7384152071,blue,799,1696,131,13583,238,3773814,42,125809,526,3701,57,16099,203,310109,50,780,202,41901,555,39541
KR_7367222804,red,77,15453,104,18276,142,6913,96,1041,497,233047,893,185783,234,1380887,166,226434,42,44157,12,10468
NA1_5157244114,red,98,2785585,120,126848,777,126065,147,829960,526,189595,157,5093291,11,815227,950,1082191,99,460962,12,89112
NA1_5154529648,red,24,852957,120,1037870,34,2947144,910,14074,111,188006,41,4878582,799,3066,61,68936,51,284016,142,806289
KR_7368537281,red,799,44296,72,233269,163,91724,110,60425,888,1250296,80,576194,30,204231,777,243786,901,808838,526,9707
NA1_5139070253,blue,69,2621744,44,6638174,777,42097,22,182980,555,626778,126,57740,234,32177,136,496604,51,468083,89,213106
KR_7373449590,blue,893,185783,141,337300,157,1765204,119,373261,43,116129,13,43611,104,168493,58,2116,96,34521,161,1088239
EUW1_7199766567,red,777,44130,5,207870,84,224331,222,40629,117,7843,98,978196,107,195943,61,51381,429,549711,111,223854
KR_7355486083,blue,79,201210,234,397032,142,3541061,42,31042,432,1226893,122,302093,76,5355,80,472054,202,401723,111,197788
NA1_5151116712,blue,39,1301,157,3028,131,63432,910,72259,43,267130,24,84732,104,11052,42,18674,134,23103,26,162811
NA1_5154065485,blue,92,266847,84,12329,234,114306,143,29345,497,146318,78,59469,104,237941,68,19170,221,38144,432,140496
EUW1_7196751116,red,150,46384,154,1260179,134,174928,51,42818,412,46929,84,62391,5,86702,50,6701,81,248343,267,1706921
